record_index,reason,status,imu_samples,imu_gap_ns,input_points,filtered_points,queries,accepted_residuals,residual_rms,iterations,final_increment_norm,map_points,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
3299,,TRACKING,8,6154547,6528,1952,1952,1739,0.0253768,3,0.000101074,41722,126,880,288,14692,17367,1519,4133,20417
3306,,TRACKING,7,6247296,6528,1244,1244,850,0.0358264,3,5.36231e-05,41746,110,917,194,9927,11222,1106,4133,13734
3313,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245230525290039 current_scan_start_ns=1701245230525006533 current_scan_end_ns=1701245230557641533 overlap_duration_ns=283506 scan_index=486,TRACKING,7,6247296,6528,1244,1244,850,0.0358264,3,5.36231e-05,41746,110,917,194,9927,11222,1106,4133,13734
3320,,TRACKING,14,6247296,6528,1952,1952,1708,0.0243155,3,9.8952e-05,41778,241,914,284,14379,17048,1513,4133,20217
3327,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245230591776874 current_scan_start_ns=1701245230591465235 current_scan_end_ns=1701245230624100235 overlap_duration_ns=311639 scan_index=488,TRACKING,14,6247296,6528,1952,1952,1708,0.0243155,3,9.8952e-05,41778,241,914,284,14379,17048,1513,4133,20217
3334,,TRACKING,14,7007636,6528,1277,1277,853,0.0360767,3,0.000148795,41803,224,927,254,10310,11610,1164,4133,14402
3340,,TRACKING,7,6086576,6528,1978,1978,1790,0.0254726,3,0.000165995,41844,114,916,288,15166,18008,1634,4133,21197
3347,,TRACKING,8,6086178,6528,1397,1397,978,0.0347563,3,0.000388765,41866,128,918,230,11399,12923,1327,4133,15719
3354,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245230725087192 current_scan_start_ns=1701245230724855661 current_scan_end_ns=1701245230757490661 overlap_duration_ns=231531 scan_index=492,TRACKING,8,6086178,6528,1397,1397,978,0.0347563,3,0.000388765,41866,128,918,230,11399,12923,1327,4133,15719
3361,,TRACKING,14,6229421,6528,1991,1991,1772,0.0258121,3,9.52089e-05,41913,227,917,312,14871,17649,1549,4150,25046
