run,request_id,planning_cycle_id,structural_class,observed_phases,reasons
10,4,233,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
10,4,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
10,5,486,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
10,5,487,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
10,5,488,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
10,5,489,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
10,5,490,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
10,5,491,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
10,5,492,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
10,5,493,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
10,5,505,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
10,,,MISSING_PRODUCER_EXPORT_IDENTITY,publish,BUNDLE_IDENTITY_MISSING|BUNDLE_OWNER_MISSING_EXPORT|COMMAND_AUTHORIZATION_LINEAGE_MISSING|COMMAND_IDENTITY_MISSING|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
