run,profile,infrastructure,run_verdict,metric,clock_domain,scope,n,min,p50,p95,p99,p999,max,mean,over_100_ms
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,command_recorder_interarrival_ms,recorder wall time,per run; diagnostic samples not event-paired,2883,17.678836,19.997411,20.21044,20.356652,9960.081938,28700.023502,38.02288747277142,4
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,command_source_interarrival_ms,ROS source time,per run; diagnostic samples not event-paired,2883,8.0,16.0,16.000001,16.000001,7968.0,22959.999999,30.41831425598335,3
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,command_store_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,531,0.0,0.062,0.131,0.183,,0.221,0.07439924670433146,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,command_transport_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,531,0.0,0.069,0.124,0.17400000000000002,,0.216,0.07438606403013183,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1107,13.383000000000001,32.018,41.423,46.353,72.815,98.793,32.54086178861789,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,mapping_observation_to_diagnostic_stamp_proxy_ms,ROS source time,per run; diagnostic samples not event-paired,1107,40.0,60.0,80.0,92.0,112.0,144.0,60.896115627822944,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1107,6.1450000000000005,11.455,15.303,16.781,18.267,18.536,11.629022583559168,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,531,0.0,0.0,0.0,0.001,,2.652,0.013800376647834275,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,planning_scheduling_gap_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,531,0.0,0.002,0.227,1199.973,,24099.986,105.31437853107344,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,planning_worker_runtime_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,531,0.0,0.227,67.301,67.637,,67.8,19.924873822975517,
