record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785256494100585846,125,879,309,14046,17246,1578,3182,23577
1785256494129170679,116,924,255,13419,15857,1622,3182,19160
1785256494152825589,126,876,153,6132,7091,622,3182,9031
1785256494175914851,126,876,153,6132,7091,622,3182,9031
1785256494227432960,225,866,242,12372,14451,1452,3182,17427
1785256494242533362,225,866,242,12372,14451,1452,3182,17427
1785256494298429291,219,875,296,14794,18069,1812,3182,21620
1785256494330027557,131,874,260,13981,16484,1798,3182,19949
1785256494342232191,131,874,260,13981,16484,1798,3182,19949
1785256494397734766,232,884,304,14607,17780,1694,3182,21199
1785256494431453307,126,894,293,14772,17561,1778,3182,21067
1785256494450414960,132,870,124,4440,5060,391,3182,6734
1785256494476131187,132,870,124,4440,5060,391,3182,6734
1785256494531130917,229,877,279,14927,17526,1851,3182,20977
1785256494542474978,229,877,279,14927,17526,1851,3182,20977
1785256494602833092,212,870,275,15656,18905,1995,3541,26109
1785256494634140877,134,929,319,16904,20199,1928,3541,23902
1785256494650879277,134,930,148,4689,5344,388,3541,7276
1785256494697950600,143,928,294,14979,18105,1734,3541,21418
1785256494733047952,139,933,308,16430,19582,2013,3541,23371
1785256494749819456,123,872,129,4064,4625,357,3541,6284
1785256494775742763,123,872,129,4064,4625,357,3541,6284
1785256494832025720,221,866,334,15454,18272,1853,3541,21778
1785256494842849072,221,866,334,15454,18272,1853,3541,21778
1785256494898999538,232,826,285,15998,18842,1816,3541,22316
1785256494933174810,114,870,293,16512,19711,1972,3541,23280
1785256494942511895,114,870,293,16512,19711,1972,3541,23280
1785256494998438663,226,837,306,15300,18312,1802,3541,21903
1785256495035976021,134,937,298,15956,19096,1932,3677,26408
1785256495050840670,116,930,137,4791,5490,395,3677,7239
1785256495075816516,116,930,137,4791,5490,395,3677,7239
1785256495131786456,335,1538,356,14833,17623,1724,3677,21816
1785256495142624309,335,1538,356,14833,17623,1724,3677,21816
1785256495198339117,227,873,282,15731,18404,1842,3677,21942
1785256495231819511,125,878,294,15301,18278,1862,3677,21740
1785256495250714989,140,943,154,4543,5180,434,3677,7055
1785256495275990073,140,943,154,4543,5180,434,3677,7055
1785256495333352142,244,883,291,16083,19881,1912,3677,23480
1785256495350753858,133,930,140,4609,5258,409,3677,7054
1785256495376227012,133,930,140,4609,5258,409,3677,7054
1785256495433876118,227,879,372,16312,19779,1875,3677,23387
1785256495442462978,227,879,372,16312,19779,1875,3677,23387
1785256495495800905,239,871,239,13621,15798,1537,3677,19084
1785256495536195540,124,930,307,15553,19347,1751,3717,26477
1785256495541912286,124,930,307,15553,19347,1751,3717,26477
1785256495594728939,224,871,232,12953,15025,1463,3717,18069
1785256495630179985,125,866,300,14091,17024,1759,3717,20418
1785256495654105142,146,934,165,7278,8296,861,3717,10608
1785256495676168737,146,934,165,7278,8296,861,3717,10608
1785256495732115647,225,873,322,15315,18415,1786,3717,21886
1785256495742564054,225,873,322,15315,18415,1786,3717,21886
1785256495793777349,220,836,229,12054,14042,1509,3717,17103
1785256495830347005,111,842,284,13966,16977,1628,3717,20113
1785256495856363762,132,870,192,8930,10275,1120,3717,12799
