record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785252888315723171,115,973,288,15916,17485,1522,3984,20610
1785252888335386540,131,910,141,4590,4994,335,3984,6674
1785252888381555014,131,881,321,14929,16615,1552,3984,19697
1785252888409412805,102,819,289,10157,11220,1588,3984,14291
1785252888435192417,119,835,128,4226,4586,315,3984,6115
1785252888461403343,119,835,128,4226,4586,315,3984,6115
1785252888520488403,340,1808,431,14904,16454,1374,4145,24742
1785252888527826159,340,1808,431,14904,16454,1374,4145,24742
1785252888583984808,207,906,320,16883,18644,1822,4145,22216
1785252888614839533,116,844,279,15149,16862,1362,4145,19721
1785252888627544652,116,844,279,15149,16862,1362,4145,19721
1785252888680957844,350,1809,450,12585,13773,2310,4145,19078
1785252888715909933,163,916,322,15745,17357,1846,4145,20896
1785252888734689197,115,915,128,3561,3871,288,4145,5485
1785252888761202742,115,915,128,3561,3871,288,4145,5485
1785252888810382648,215,838,331,10472,11566,1490,4145,14625
1785252888828008750,215,838,331,10472,11566,1490,4145,14625
1785252888888676536,351,1788,432,19898,22139,1600,4145,26601
1785252888919904086,110,875,340,18214,20283,2740,4145,24689
1785252888935581033,130,883,202,4257,4625,318,4145,6585
1785252888987647450,202,1780,425,15763,17332,1566,4405,25908
