accepted_residual_count,clock_domain,corrected_estimate_valid,covariance_trace,deskew_applied,estimate_validity,imu_samples_per_scan,last_lidar_correction_time_ns,level,lidar_update_status,map_point_count,output_time_ns,predicted_estimate_valid,reason,record_time_ns,registered_scan_valid,residual_rms_m,status
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571418025086,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571418195154,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571418370729,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571418540480,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571418718293,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571418888324,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571419065767,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571419249850,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571419442071,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571419618403,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571419780623,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571419941776,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571420106028,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571420267597,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571420437758,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571420600757,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571420765891,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571420931652,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571421109127,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571421282852,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571421458442,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571421629266,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571421799092,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571421980637,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571422153404,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571422329598,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571422500862,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571422671881,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571422884003,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571423067114,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571423240707,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571423430597,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571423616162,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571423713697,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571423882375,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571424045946,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571424215716,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571424401595,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571424571623,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571424736793,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571424901865,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571425067706,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571425241460,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571425420945,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571425594122,false,0.104263,TRACKING
